index	biography	name	fullName
4891	TYSON, THOMAS	TYSON, THOMAS	Thomas Tyson
4892	UDEL	UDEL	Udel
4893	UDNY, JOHN (1727-1800), merchant and collector, 3rd s. of James Udny of Aberdeen; cons. Venice 1761-76, Leghorn 1776-96, chargé d'affaires Florence 1787-8; m. 1777 Selina Shore Clevland.	UDNY, JOHN	John Udny
4894	UDNY, JOHN (d. 1802), d. at Fiume, buried at Leghorn.	UDNY, JOHN	John Udny
4895	UDNY, ROBERT FULLARTON (1722-1802), West India merchant and collector, of Teddington, Mx., and Udny Castle, Aberdeen; yr. bro. of John Udny (1727-1800); FRS 1785; m. 1 Miss Hougham (sis. of Cts.of Northampton), 2 Margaret [Martha] Jordan.	UDNY, ROBERT FULLARTON	Robert Fullarton Udny
4896	UDNY	UDNY	Udny
4897	ULYSSES, CHARLES, author of Travels through the Kingdom of Naples [1795].	ULYSSES, CHARLES, author of Travels through the Kingdom of Naples [1795].	Charles Ulysses
4898	UNWIN, MATTHIAS (c.1700-86), merchant, of Castle Hedingham, Essex; d. Leghorn.	UNWIN, MATTHIAS	Matthias Unwin
4899	UPPER OSSORY, 1ST EARL OF, see John, 2nd Baron Gowran	UPPER OSSORY, 1ST EARL OF	1st Earl Of Upper Ossory
4900	UPPER OSSORY, JOHN FITZPATRICK, 2ND EARL OF (1745-1818) of Ampthill, Beds, e. s. of 1st E. of Upper Ossory [I]; educ. Westminster and Trin. Camb. 1760; suc. fa. 1758 as 2nd E.; Dilettanti 1766; MP 1767-94; m. 1769 Hon. Anne Liddell, dau. of B.Ravensworth and div. w. of 3rd D. of Grafton; FRS 1780; FSA 1793; cr. B. Upper Ossory 1794.	UPPER OSSORY, JOHN FITZPATRICK, 2ND EARL OF	John Fitzpatrick Upper Ossory
4901	UPTON, CLOTWORTHY (1721-85), 3rd s. of John Upton of Castle Upton, co.Antrim; m. 1769 Elizabeth Boughton; cr. B. Templetown [I] 1776.	UPTON, CLOTWORTHY	Clotworthy Upton
4902	URQUHART, CAPT. ADAM, of Bythe	URQUHART, CAPT. ADAM, of Bythe	Capt. Adam Urquhart
4903	VALENTINE, ROBERT (c.1680-after 1747), composer; in London 1731.	VALENTINE, ROBERT	Robert Valentine
4904	VALLINE, merchant.	VALLINE, merchant.	Valline
4905	VANDEPUT, PETER, see Richard Reynell	VANDEPUT, PETER	Peter Vandeput
4906	VANE, JOHN (1707-24), 1st surv. s. of 1st Vct. Vane.	VANE, JOHN	John Vane
4907	VANE, possibly Morgan Vane, 1737-89, s. of Hon. Morgan Vane of Bilby Hall, Notts, m. 1 1760 Anna Upton (d. 1771), 2 Sarah Brookes (d. 1779), 3 1780 Catherine Brookes.	VANE, possibly Morgan Vane, 1737-89, s. of Hon. Morgan Vane of Bilby Hall, Notts, m. 1 1760 Anna Upton	Vane
4908	VANE, see Blackhal	VANE	Vane
4909	VANNINI, MRS MARIA, hotel keeper.	VANNINI, MRS MARIA, hotel keeper.	Mrs Maria Vannini
4910	VANTEYLINGER, PETER	VANTEYLINGER, PETER	Peter Vanteylinger
4911	VAVASOR	VAVASOR	Vavasor
4912	VENABLES	VENABLES	Venables
4913	VENTRIS, REV. EDWARD (c.1718-64), s. of Edward Ventris of Sproughton, Suff.; Oriel Oxf. 1733 and Magd. Oxf. 1733-8, fell. 1738-44; rect. of Brandon-cum-Wrangford, Suff., 1743, and Burgate, Suff.; see Rowland Holt.	VENTRIS, REV. EDWARD	Rev. Edward Ventris
4914	VENTURE	VENTURE	Venture
4915	VERE, 1ST BARON, see Lord Vere Beauclerk	VERE, 1ST BARON	1st Baron Vere
4916	VERNEY, PETER, see George Anderson	VERNEY, PETER	Peter Verney
4917	VERNON, HENRY, of London.	VERNON, HENRY, of London.	Henry Vernon
4918	VERNON, HENRY (1718-65) of Hilton Park, Staffs, 1st s. of Henry Vernon; educ. Westminster and Trin. Camb. 1736; L.Inn 1739; m. 1743 Ldy. Henrietta Wentworth, dau. of 3rd E. of Strafford; MP 1754-62; see John Hynde Cotton.	VERNON, HENRY	Henry Vernon
4919	VERNON, HENRY, see Elizabeth, Baroness Craven	VERNON, HENRY	Henry Vernon
4920	VERNON, JOHN	VERNON, JOHN	John Vernon
4921	VERNON, LEVESON (d. 1831) of Stoke, Northants, and Aldborough, Suff., 3rd s. of Henry Vernon of Hilton Park, Staffs; unm.	VERNON, LEVESON	Leveson Vernon
4922	VERNON, THOMAS	VERNON, THOMAS	Thomas Vernon
4923	VERNON, THOMAS PHILIP, possibly Thomas Philips Vernon, 1719-55, 2nd s. of Henry Vernon; unm.	VERNON, THOMAS PHILIP, possibly Thomas Philips Vernon, 1719-55, 2nd s. of Henry Vernon	Thomas Philip Vernon
4924	VERNON, MR and MRS	VERNON, MR and MRS	Mr And Mrs Vernon
4925	VERULAM, 1ST BARON, see Hon. James Grimston	VERULAM, 1ST BARON	1st Baron Verulam
4926	VIERPYL, SIMON (c.1725-1810), sculptor, b. London, studied under P. Scheemakers; settled in Ireland in 1756.	VIERPYL, SIMON	Simon Vierpyl
4927	VILLA, JOHN, of London	VILLA, JOHN, of London	John Villa
4928	VILLETTES, ARTHUR (d. 1776), diplomat; sec. 1732-41 and res. 1741-9 Turin, min. Berne 1749-62.	VILLETTES, ARTHUR	Arthur Villettes
4929	VILLETTES, COL., presumably William Anne Villettes, 1754-1808, 2nd s. of Arthur Villettes; St Andrews; army officer, maj. 1787, lt.-col. 1791, col. 1795, lt.-gen.1805; serving in Mediterranean area 1791-4; gov. of Jamaica 1808.	VILLETTES, COL., presumably William Anne Villettes, 1754-1808, 2nd s. of Arthur Villettes	Col. Villettes
4930	VILLIERS, COL. HON. GEORGE, see William Courtenay	VILLIERS, COL. HON. GEORGE	Col. Hon. George Villiers
4931	VILLIERS, GEORGE BUSSY VILLIERS, VISCOUNT (1735-1805), 1st surv. s. of 3rd E. of Jersey; sty. Vct. Villiers 1742-69 when suc. fa. as 4th E.; MP 1756-69; m. 1770 Frances Twysden; FSA 1787.	VILLIERS, GEORGE BUSSY VILLIERS, VISCOUNT	George Bussy Villiers, Viscount Villiers
4932	VILLIERS, LADY GERTRUDE (MASON-VILLIERS) (1778-1809), dau. and h. of 2nd E. Grandison; m. 1802 Ld Henry Stuart (2nd s. of 1st M. of Bute); see George, 2nd Earl Grandison.	VILLIERS, LADY GERTRUDE	Lady Gertrude Villiers
4933	VILLIERS, HON. JOHN CHARLES (1757- 1838), 2nd s. of 5th E. of Clarendon; educ. Eton and St John's Camb. 1774; L.Inn 1774, called 1779; MP 1784-1805, 1807-12, 1820-4; m. 1791 Maria Eleanor Forbes (c.1759-1844); env. Lisbon 1807-10; suc. bro. 1824 as 3rd E.	VILLIERS, HON. JOHN CHARLES	Hon. John Charles Villiers
4934	VILLIERS, HON. THOMAS (1709-86), 2nd s. of 2nd E. of Jersey; educ. Eton and Queens' Camb. 1728; Dilettanti 1736; env. Poland 1738-43, 1744-6; min. Vienna 1742-3, env. Berlin 1746; MP 1747-56; m. 1752 Ldy. Charlotte Capel, dau. of 3rd E. of Essex; cr. B. Hyde 1756, and E. of Clarendon 1776.	VILLIERS, HON. THOMAS	Hon. Thomas Villiers
4935	VILLIERS, WILLIAM VILLIERS, VISCOUNT (c.1682-1721), s. and h. of 1st E. of Jersey, sty. Vct. Villiers 1697-1711 when suc. fa. as 2nd E.; Queens' Camb., MA 1700; m. 1705 Judith Herne; MP 1705-8; cr. E. of Jersey [J] 1716.	VILLIERS, WILLIAM VILLIERS, VISCOUNT	William Villiers, Viscount Villiers
4936	VINCENT, SIR FRANCIS, 8TH BT. (1747-91) of Stoke d'Abernon, Surr.; 1st s. of Sir Francis Vincent; suc. fa. 1775 as 8th Bt.; m. 1779 Mary Muilman-Trench Chiswell; d. Vicenza.	VINCENT, SIR FRANCIS, 8TH BT.	Sir Francis, 8th Bt. Vincent
4937	VINCENT, JOHN	VINCENT, JOHN	John Vincent
4938	VINCENT, CAPT.	VINCENT, CAPT.	Capt. Vincent
4939	VINCENT	VINCENT	Vincent
4940	VIVIAN	VIVIAN	Vivian
4941	VIVIEN, THOMAS, possibly Thomas Vivian (c.1722-93), s. of Thomas Vivian of Kenwyn, Corn.; Exeter, Oxf. 1738; vic. of Cornwood, Devon, 1747-d.; see Willoughby, 4th Earl of Abingdon, and John Acland.	VIVIEN, THOMAS, possibly Thomas Vivian	Thomas Vivien
4942	WADDELL, GEORGE	WADDELL, GEORGE	George Waddell
4943	WADE, EMMANUEL	WADE, EMMANUEL	Emmanuel Wade
4944	WADE, MATTHEW	WADE, MATTHEW	Matthew Wade
4945	WADE, REV., see Charles Morris	WADE, REV.	Rev. Wade
4946	WAGSTAFFE, THOMAS (1692-1770), 2nd s. of Thomas Wagstaffe, non-juring Bp., of Binley, War; d. Rome.	WAGSTAFFE, THOMAS	Thomas Wagstaffe
4947	WALCOT, MR and MRS	WALCOT, MR and MRS	Mr And Mrs Walcot
4948	WALCOTT	WALCOTT	Walcott
4949	WALDEGRAVE, 4TH EARL OF, see George, Viscount Chewton	WALDEGRAVE, 4TH EARL OF	4th Earl Of Waldegrave
4950	WALDEGRAVE, JAMES WALDEGRAVE, 2ND BARON (1684-1741), 1st s. of 1st B. Waldegrave; suc. fa. 1690 as 2nd B.; educ. in France; m. 1714 Mary Webb (d. 1719); env.extra. Paris 1725 and 1727-8, amb.extra. Vienna 1728-30 and Paris 1730-40; cr. E. Waldegrave 1729; KG 1738.	WALDEGRAVE, JAMES WALDEGRAVE, 2ND BARON	James Waldegrave, 2nd Baron Waldegrave
4951	WALDEGRAVE, MARIA (WALPOLE), COUNTESS (1736-1807), illeg. dau. of Sir Edward Walpole; m. 1 1759 2nd E. Waldegrave (d. 1763), 2 1766 (in secret) William Frederick, D. of Gloucester; see William, Duke of Gloucester.	WALDEGRAVE, MARIA	Maria Waldegrave
4952	WALDGRAVE, CAPT., possibly Hon. William Waldegrave, 1753-1825, 2nd s. of 3rd E. Waldegrave; educ. Eton; naval officer, capt. 1776, v.-adml. 1795, adml. 1802; gov. of Newfoundland 1797; m. 1785 Cornelia van Lennep; cr. B. Radstock [I] 1800; see Adml. Robert Man.	WALDGRAVE, CAPT., possibly Hon. William Waldegrave, 1753-1825, 2nd s. of 3rd E. Waldegrave	Capt. Waldgrave
4953	WALE	WALE	Wale
4954	WALESBY, chaplain to the D. of Gloucester; see James Six.	WALESBY, chaplain to the D. of Gloucester	Walesby
4955	WALFORD, JOHN	WALFORD, JOHN	John Walford
4956	WALKER, ADAM (1731?-1821), author and inventor, s. of a woollen manufacturer of Patterdale, Westmor.; in London from 1778.	WALKER, ADAM	Adam Walker
4957	WALKER, DOM GEORGE AUGUSTINE (1721-94), Benedictine, prior of St Edmund's, Paris, 1753-7; prior of Worcester 1765; vic. of Muns, Cambrai, 1790.	WALKER, DOM GEORGE AUGUSTINE	Dom George Augustine Walker
4958	WALKER, JAMES, possibly cos. of Ralph Carr.	WALKER, JAMES, possibly cos. of Ralph Carr.	James Walker
4959	WALKER, MAJ. and MRS	WALKER, MAJ. and MRS	Maj. And Mrs Walker
4960	WALKER	WALKER	Walker
4961	WALKINSHAW, CLEMENTINA MARIA SOPHIA (c.1726-1802), 10th dau. of John Walkinshaw of Burrowfield, Lan. (d. 1731); to the Austrian Netherlands 1751; in Liège, Paris and Basle 1752-60, as mistress of the Young Pretender, by whom she had 1 dau., Charlotte; said to have been cr. Cts. of Alberstroff by Francis I of Austria [by 1760]; in Paris 1760-6, Meaux 1766-72, Paris 1772-, and Fribourg 1792-1802; see Charlotte Stuart.	WALKINSHAW, CLEMENTINA MARIA SOPHIA	Clementina Maria Sophia Walkinshaw
4962	WALKINSHAW, possibly John Walkinshaw, Jacobite, of Burrowfield, Lan., d. 1731; Kt.[J] 1717 and amb.[J] Vienna 1717; fa. of Clementina Walkinshaw.	WALKINSHAW, possibly John Walkinshaw, Jacobite, of Burrowfield, Lan., d. 1731	Walkinshaw
4963	WALL, JOSEPH (1737-1802), b. in Dublin; Trin. Dublin; army service in Havana; EICo at Bombay; gov. of Goree, W. Africa, c.1780-2.	WALL, JOSEPH	Joseph Wall
4964	WALL, MRS	WALL, MRS	Mrs Wall
4965	WALL	WALL	Wall
4966	WALLACE, THOMAS (1768-1844) of Carleton Hall, Cumb., o. s. of James Wallace of Featherstone Castle, Northumb.; educ. Eton and Ch.Ch. Oxf. 1785; L.Inn 1785; MP 1790-1828; m. 1814 Ldy. Jane Hope, dau. of 2nd E. of Hopetoun [S] and wid. of 1st Vct. Melville; cr. B. Wallace 1828.	WALLACE, THOMAS	Thomas Wallace
4967	WALLER, CAPT. JOHN (d. 1781)	WALLER, CAPT. JOHN	Capt. John Waller
4968	WALLER, SIR ROBERT, 2ND BT. (c.1768-1826), e. s. of Sir Robert Waller of Lisbrian; Trin. Dublin; suc. fa 1780 as 2nd Bt.; m. 1 1796 Mary Bernard (d. 1804), 2 1806 Elizabeth Biddulph, wid. of John Willington.	WALLER, SIR ROBERT, 2ND BT.	Sir Robert, 2nd Bt. Waller
4969	WALLIS, E., see Lucas Selfe	WALLIS, E.	E. Wallis
4970	WALLIS, GEORGE AUGUSTUS (1761-1847), painter, b. of Scottish parents in Merton, Surr.; in Spain 1807-9, and Germany 1812-16; exh. RA 1785-6, 1794, 1807, 1815, 1836; d. Florence.	WALLIS, GEORGE AUGUSTUS	George Augustus Wallis
4971	WALLIS, GEN.	WALLIS, GEN.	Gen. Wallis
4972	WALLOP, JOHN (1690-1762) of Hurstbourne Park, Hants, 3rd s. of John Wallop; educ. Eton; MP 1715-20; m. 1 1716 Ldy. Bridget Bennet (d. 1738), dau. of 1st E. of Tankerville, 2 1741 Hon. Elizabeth Griffin, dau. of 2nd B. Griffin and wid. of Henry Grey; cr. Vct. Lymington 1720, and E. of Portsmouth 1743.	WALLOP, JOHN	John Wallop
4973	WALPOLE, HON. EDWARD (1706-84) of Frogmore, Berks, 2nd s. of 1st E. of Orford; educ. Eton and King's Camb. 1725; L.Inn 1723, called 1727; MP 1730-68 [I], 1737-60; unm.	WALPOLE, HON. EDWARD	Hon. Edward Walpole
4974	WALPOLE, HON. HORACE (1717-97), dilettanti, of Strawberry Hill, Mx., 3rd s. of Robert Walpole, 1st E. of Orford; educ. Eton and King's Camb. 1735; MP 1741-68; suc. nephew 1791 as 4th E.; unm.	WALPOLE, HON. HORACE	Hon. Horace Walpole
4975	WALPOLE, HORATIO (1723-1809) of Wolterton, Norf., 1st s. of Horatio Walpole (who was cr. B. Walpole of Wolterton 1756); Corpus Camb. 1741; L.Inn 1736; MP 1747-57; m. 1748 Ldy. Rachel Cavendish, dau. of 3rd D. of Devonshire; suc. fa. 1757 as 2nd B.; suc. cos. 1797 as 5th B. Walpole of Walpole; cr. E. of Orford 1806.	WALPOLE, HORATIO	Horatio Walpole
4976	WALPOLE, MARGARET (ROLLE), BARONESS, see Margaret, Countess of Orford	WALPOLE, MARGARET	Margaret Walpole
4977	WALPOLE, ROBERT (c.1701-51), 1st s. of Robert Walpole (who was cr. 1742 1st E. of Orford); cr. 1723 B. Walpole of Walpole; KB 1725; suc. fa. 1745 as 2nd E.; m. 1724 Margaret Rolle (see Margaret, Lady Orford).	WALPOLE, ROBERT	Robert Walpole
4978	WALSBY	WALSBY	Walsby
4979	WALSH, EDWARD, see Gage 1769	WALSH, EDWARD	Edward Walsh
4980	WALSH, LEWIS	WALSH, LEWIS	Lewis Walsh
4981	WALSH	WALSH	Walsh
4982	WALSINGHAM, 2ND BARON, see Thomas de Grey (1748-1818)	WALSINGHAM, 2ND BARON	2nd Baron Walsingham
4983	WALTER, CHARLES (b. c.1710)	WALTER, CHARLES	Charles Walter
4984	WALTER, EDWARD (1727-80) of Stalbridge Park, Dorset, and Bury Hill, Dorking, Surr.; 2nd s. of Paget Walter; m. Hon. Harriet Forrester, dau. of 5th B. Forrester [S]; MP 1754-74.	WALTER, EDWARD	Edward Walter
4985	WALTER, JOHN (c.1714-79) of Bicton and Stevenstone, Devon, 2nd s. of John Rolle; New Coll. Oxf. 1729; suc. uncle 1731 to estates, taking name of Walter; MP 1754-79; unm.; see Rev. Edward Rolle.	WALTER, JOHN	John Walter
4986	WALTER	WALTER	Walter
4987	WALTHAM, 1ST BARON, see John Olmius	WALTHAM, 1ST BARON	1st Baron Waltham
4988	WARBURTON	WARBURTON	Warburton
4989	WARD, HON. JOHN (1725-88), 1st s. of 6th B. Ward (cr. Vct. Dudley and Ward); Oriel Oxf. 1743; MP 1754-74; suc. fa. 1774 as 2nd Vct.; m. 1788 Mary Baker, wid. of Gamaliel Fair.	WARD, HON. JOHN	Hon. John Ward
4990	WARD, COL.	WARD, COL.	Col. Ward
4991	WARD, CAPT.	WARD, CAPT.	Capt. Ward
4992	WARE, ISAAC (c.1707-66), architect; apprenticed to Thomas Ripley 1721-8; sec. of the Royal Works 1736-; said to have been sent to Italy when a young man by an unknown benefactor (Nollekens, 2:209); 'references to ancient Roman buildings in Ware's publications suggest that he had visited Italy' (DBA).	WARE, ISAAC	Isaac Ware
4993	WARKWORTH, HUGH PERCY, LORD (1742- 1817), e. s. of 1st D. of Northumberland; assumed name of Percy in lieu of Smithson 1750; sty. Ld. Warkworth 1750-66 and E. Percy 1766-86 when suc. fa. as 2nd D.; educ. Eton and St John's Camb. 1760; army officer, capt. 1759, lt.-col. 1762, gen. 1793; MP 1763-76; Dilettanti 1764; m. 1 1764 Ldy. Anne Stuart, dau. of 3rd E. of Bute [S] (div. 1779), 2 1779 Frances Burrell; FSA 1787; FRS 1788; KG 1788.	WARKWORTH, HUGH PERCY, LORD	Hugh Percy, Lord Warkworth
4994	WARNER, HENRY LEE (1688-1760) of Walsingham Abbey, Norf.	WARNER, HENRY LEE	Henry Lee Warner
4995	WARNER, DR JOHN (1736-1800), s. of Rev. Ferdinando Warner, of Barnes, Surr.; Trin. Camb. 1754; DD 1773; rect. of Hockliffe and Chalgrave, Beds, 1771, and Stourton, Wilts, 1790-d.; chapl. to the British emb. at Paris 1790-3; interned in Paris, released 1795.	WARNER, DR JOHN	Dr John Warner
4996	WARNER, THOMAS (fl. c.1752-c.1788), painter; possibly the Warner who exh. SA 1775, FS 1783, RA 1788.	WARNER, THOMAS	Thomas Warner
4997	WARREN, SIR GEORGE (1735-1801) of Stockport and Poynton, Ches, o. s. of Edward Warren; army officer, ensign 1755, lt. 1756, ret. 1758; MP 1758-84, 1786-96; m. 1 1758 Jane Revel (d. 1761), 2 1764 Frances Bisshopp; KB 1761.	WARREN, SIR GEORGE	Sir George Warren
4998	WARREN	WARREN	Warren
4999	WARRINGTON, 1ST EARL OF, see George, Lord Grey (1737-1819)	WARRINGTON, 1ST EARL OF	1st Earl Of Warrington
5000	WARRINGTON, GEORGE BOOTH, 2ND EARL OF (1675-1758) of Dunham Massey, Ches., 1st surv. s. of 1st E. of Warrington; sty. Ld. Delamer 1690-4 when suc. fa. as 2nd E.; m. 1702 Mary Oldbury.	WARRINGTON, GEORGE BOOTH, 2ND EARL OF	George Booth, 2nd Earl Of Warrington
5001	WARRINGTON, merchant	WARRINGTON, merchant	Warrington
5002	WARWICK, see Barker 1774	WARWICK	Warwick
5003	WATER	WATER	Water
5004	WATERFORD, 2ND MARQUESS OF, see Henry, Earl of Tyrone	WATERFORD, 2ND MARQUESS OF	2nd Marquess Of Waterford
5005	WATERS, GEORGE, see John Arundell Bellings	WATERS, GEORGE	George Waters
5006	WATERS, DOM JAMES PLACID (1740-1808), Benedictine, s. of John Duvivier; Douai, professed 1757; d. Rome.	WATERS, DOM JAMES PLACID	Dom James Placid Waters
5007	WATERS	WATERS	Waters
5008	WATKINS, GEORGE	WATKINS, GEORGE	George Watkins
5009	WATKINS, THOMAS (1761-1829), s. of Pannoyre Watkins of Brecon; Ch.Ch. Oxf. 1779; FRS 1794; m. 1795 Susanna Vaughan; rect. of Llandefailog 1799, vic. of Llandefalley 1800-29.	WATKINS, THOMAS	Thomas Watkins
5010	WATKINS, WILLIAM	WATKINS, WILLIAM	William Watkins
5011	WATLEY	WATLEY	Watley
5012	WATSON, BETSY, see Laetitia Houblon	WATSON, BETSY	Betsy Watson
5013	WATSON, SIR CHARLES, 1ST BT. (1751-1844), o. s. of Adml. Charles Watson; cr. Bt.1760 in recognition of his father's service; Ch.Ch. Oxf. 1769; All Souls Oxf. MA 1778; m. 1789 Juliana Copley.	WATSON, SIR CHARLES, 1ST BT.	Sir Charles, 1st Bt. Watson
5014	WATSON, JAMES, from Scotland.	WATSON, JAMES, from Scotland.	James Watson
5015	WATSON, JOHN, banker at Venice [?cons. 1791-3, and chargé d'affaires 1797-1808, Venice].	WATSON, JOHN, banker at Venice [	John Watson
5016	WATSON, HON. LEWIS MONSON (1728-95) of Lees Court, Kent, 2nd s. of 1st B. Monson; suc. cos., 3rd E. of Rockingham, 1746 to estates in Northants and Kent, taking name of Watson; educ. Westminster; MP 1750-60; Dilettanti 1751; m. 1752 Grace Pelham; cr. B. Sondes 1760.	WATSON, HON. LEWIS MONSON	Hon. Lewis Monson Watson
5017	WATSON, HON. LEWIS THOMAS (1754- 1806), e. s. of 1st B. Sondes 1760; educ. Eton; MP 1776-80; m. 1785 Mary Elizabeth Milles; suc. fa. 1795 as 2nd B. Sondes; see John, 3rd Baron Monson.	WATSON, HON. LEWIS THOMAS	Hon. Lewis Thomas Watson
5018	WATSON, ROBERT, from Scotland.	WATSON, ROBERT, from Scotland.	Robert Watson
5019	WATSON, ROBERT, a quaker merchant from Scotland.	WATSON, ROBERT, a quaker merchant from Scotland.	Robert Watson
5020	WATSON, HON. THOMAS (1715-46), yr. s. of Edward Watson, Vct. Sondes; educ. Eton; L.Inn 1732; Dilettanti 1738; MP 1741-5; suc. bro. 1745 as 3rd E. of Rockingham; unm.	WATSON, HON. THOMAS	Hon. Thomas Watson
5021	WATSON, WILLIAM	WATSON, WILLIAM	William Watson
5022	WATSON, WILLIAM, see Lucas Pepys	WATSON, WILLIAM	William Watson
5023	WATSON, WILLIAM	WATSON, WILLIAM	William Watson
5024	WATSON, see Robert Lowther	WATSON	Watson
5025	WATSON, CAPT.	WATSON, CAPT.	Capt. Watson
5026	WATSON, see Tufnel 1741	WATSON	Watson
5027	WATTS, JOHN, merchant.	WATTS, JOHN, merchant.	John Watts
5028	WATTS, WILLIAM (1752-1851), engraver.	WATTS, WILLIAM	William Watts
5029	WATTS	WATTS	Watts
5030	WAUCHOPE, ANDREW, see Sir Thomas Kirkpatrick	WAUCHOPE, ANDREW	Andrew Wauchope
5031	WEAR	WEAR	Wear
5032	WEBB, BORLASE RICHMOND (c.1696- 1738) of Biddesden, Wilts, 2nd s. and h. of John Richmond Webb; army officer, ensign 1701, capt. 1705-15; m. 1727 Hester Newton; MP 1722-34.	WEBB, BORLASE RICHMOND	Borlase Richmond Webb
5033	WEBB, DANIEL (c.1719-98), miscellaneous writer, of Maidstown, co.Limerick; New Coll. Oxf. 1735; m. 1 Jane Lloyd, 2 Elizabeth Creed.	WEBB, DANIEL	Daniel Webb
5034	WEBB, JOHN (c.1758-1829), merchant, banker.	WEBB, JOHN	John Webb
5035	WEBB, NATHANIEL	WEBB, NATHANIEL	Nathaniel Webb
5036	WEBB, PRAT	WEBB, PRAT	Prat Webb
5037	WEBB, ROBERT, see Nathaniel Webb	WEBB, ROBERT	Robert Webb
5038	WEBB, THOMAS, army officer, commissioned in 31 Ft. 1707 [note by Brig. K.A. Timbers]; see James Gee.	WEBB, THOMAS, army officer, commissioned in 31 Ft. 1707 [note by Brig. K.A. Timbers]	Thomas Webb
5039	WEBB	WEBB	Webb
5040	WEBBER, HENRY (1754-1826), sculptor; b. London, s. of a Swiss sculptor; pupil of John Bacon the elder; RA schools 1772; worked for Wedgwood from 1782-94.	WEBBER, HENRY	Henry Webber
5041	WEBBER, JOHN (1752-93), painter, b. London, s. of a Swiss sculptor, and bro. of Henry Webber; RA schools 1775; sailed with Capt. Cook 1776-80; exh. RA 1784-92; ARA 1785; RA 1791.	WEBBER, JOHN	John Webber
5042	WEBSTER, SIR GODFREY, 4TH BT. (1748-1800) of Battle Abbey, Sx., e. s. of Sir Godfrey Webster; suc. fa. 1780 as 4th Bt.; m. 1786 Elizabeth Vassall (div. Jul. 1797); MP 1786-90. 1796-1800.	WEBSTER, SIR GODFREY, 4TH BT.	Sir Godfrey, 4th Bt. Webster
5043	WEBSTER, ELIZABETH (VASSALL), LADY (1771-1840), dau. of Richard Vassall of Jamaica; m. 1 1786 Sir Godfrey Webster (see above), 2 1797 2nd B. Holland.	WEBSTER, ELIZABETH	Elizabeth Webster
5044	WEDDELL, WILLIAM (1736-92) of Newby Hall, Yorks, 2nd s. of Richard Elcock (later Weddell); educ. Hackney and St John's Camb. 1753; G.Inn 1753; Dilettanti 1766; MP 1766-92; m. 1771 Elizabeth Ramsden.	WEDDELL, WILLIAM	William Weddell
5045	WEDDERBURN, ALEXANDER (b. c.1665), 4th s. of Sir Peter Wedderburn of Gosford, Hants; m. Mary Daes; see John, 5th Earl of Roxburghe.	WEDDERBURN, ALEXANDER	Alexander Wedderburn
5046	WEDGWOOD, JOHN (b. 1766), 1st s. of Josiah Wedgwood; Warrington acad. 1782; see Henry Webber.	WEDGWOOD, JOHN	John Wedgwood
5047	WEICHSELL, CHARLES (c.1766-after 1805), violinist and composer; m. c.1790 a dau. of Carlo Rovedino; see his sis., Mrs Elizabeth Billington.	WEICHSELL, CHARLES	Charles Weichsell
5048	WELCH, SAUNDERS (c.1710-84), JP of Mx.; b. Ailesbury; m. Mary Brotherton.	WELCH, SAUNDERS	Saunders Welch
5049	WELD, EDWARD (1741-75) of Lulworth Castle, Dorset; educ. St Omer and Rheims; m. 1 1763 Hon. Juliana Petre, dau. of 8th B. Petre, 2 1775 Mary Anne Smythe.	WELD, EDWARD	Edward Weld
5050	WELDEN	WELDEN	Welden
5051	WELFORD	WELFORD	Welford
5052	WELING, CHRISTOPHER, of Oxford.	WELING, CHRISTOPHER, of Oxford.	Christopher Weling
5053	WELLDON, MR and MRS	WELLDON, MR and MRS	Mr And Mrs Welldon
5054	WELLESLEY, 1ST MARQUESS OF, see Richard, 2nd Earl of Mornington	WELLESLEY, 1ST MARQUESS OF	1st Marquess Of Wellesley
5055	WELLESLEY, GERALD, possibly Hon. Gerald Valerian Wellesley, 1770-1848, 4th s. of 1st E. of Mornington [I]; chapl. to the Royal Household; m. 1802 Ldy. Emily Cadogan, dau. of 1st E. Cadogan.	WELLESLEY, GERALD, possibly Hon. Gerald Valerian Wellesley, 1770-1848, 4th s. of 1st E. of Mornington [I]	Gerald Wellesley
5056	WELTDEN, ANTHONY	WELTDEN, ANTHONY	Anthony Weltden
5057	WEMYSS, titular 6TH EARL OF, see David, Lord Elcho	WEMYSS, titular 6TH EARL OF	Wemyss
5058	WEMYSS, ALEXANDER, a Scot (b. c.1711), see Thomas Mather.	WEMYSS, ALEXANDER, a Scot	Alexander Wemyss
5059	WEMYSS, JAMES	WEMYSS, JAMES	James Wemyss
5060	WEMYSS, HON. JAMES (1726-86) of Wemyss, Fife, 3rd s. of 5th E. of Wemyss [S]; m. 1757 Ldy. Elizabeth Sutherland, dau. of 17th E. of Sutherland [S]; naval officer 1741-57; MP 1763-84.	WEMYSS, HON. JAMES	Hon. James Wemyss
5061	WEMYSS, GEN. WILLIAM (1760-1822), 2nd s. of Hon. James Wemyss (1726-86); Ch.Ch. Oxf. 1776; army officer, ensign 1777, col. 1793, maj.gen. 1798, gen. 1814; in France and Switzerland 1783-4; m. 1788 Frances Erskine; MP 1784-96, 1807-20.	WEMYSS, GEN. WILLIAM	Gen. William Wemyss
5062	WEMYSS	WEMYSS	Wemyss
5063	WENDLER, PETER JOHN	WENDLER, PETER JOHN	Peter John Wendler
5064	WENDLER	WENDLER	Wendler
